variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_21050	9.50E-01	6.84E-01	9.24E-02	-3.60E-01	2.13E-01	9.75E-02	
tolA~~~psiF	9.50E-01	8.82E-01	9.38E-01	-1.69E-02	2.15E-01	4.54E-03	
zraR~~~luxO	9.50E-01	8.82E-01	9.38E-01	-1.69E-02	2.15E-01	4.54E-03	
luxO~~~zraR~~~norR	9.50E-01	8.82E-01	9.38E-01	-1.69E-02	2.15E-01	4.54E-03	
group_20134	9.50E-01	8.82E-01	9.38E-01	-1.69E-02	2.15E-01	4.54E-03	
group_19784	9.50E-01	8.82E-01	9.38E-01	-1.69E-02	2.15E-01	4.54E-03	
lysM~~~fimV~~~rsgI2	9.50E-01	6.84E-01	4.82E-01	-8.08E-02	1.15E-01	4.08E-02	
group_19221	9.50E-01	3.36E-01	1.45E-01	-3.07E-01	2.10E-01	8.44E-02	
group_19126	9.50E-01	1.29E-01	3.98E-02	-2.23E-01	1.08E-01	1.19E-01	
group_19117	9.50E-01	4.82E-01	6.22E-01	6.19E-02	1.26E-01	2.86E-02	
group_19077	9.50E-01	3.83E-02	6.50E-01	5.12E-02	1.13E-01	2.64E-02	
group_18921	9.50E-01	4.82E-01	7.78E-01	7.06E-02	2.50E-01	1.64E-02	
group_18718	9.50E-01	6.84E-01	3.68E-01	-1.92E-01	2.13E-01	5.22E-02	
group_17951	9.50E-01	4.82E-01	6.28E-01	-5.73E-02	1.18E-01	2.82E-02	
group_15588	9.50E-01	4.82E-01	7.97E-01	-6.96E-02	2.71E-01	1.49E-02	
djlA~~~terB	9.50E-01	2.08E-01	6.89E-01	4.36E-02	1.09E-01	2.32E-02	
puuR	9.50E-01	8.82E-01	2.06E-01	-3.51E-01	2.77E-01	7.33E-02	
group_15159	9.50E-01	8.82E-01	3.99E-01	-2.03E-01	2.41E-01	4.89E-02	
group_15143	9.50E-01	6.84E-01	7.43E-01	-3.65E-02	1.11E-01	1.91E-02	
group_15066	9.50E-01	8.82E-01	2.06E-01	-3.51E-01	2.77E-01	7.33E-02	
ehuD~~~yecS	9.50E-01	8.82E-01	2.06E-01	-3.51E-01	2.77E-01	7.33E-02	
group_14729	9.50E-01	8.82E-01	2.06E-01	-3.51E-01	2.77E-01	7.33E-02	
cytC556	9.50E-01	2.08E-01	5.09E-01	7.16E-02	1.08E-01	3.83E-02	
group_14474	9.50E-01	8.82E-01	2.06E-01	-3.51E-01	2.77E-01	7.33E-02	
group_14473	9.50E-01	3.36E-01	3.81E-01	-1.06E-01	1.21E-01	5.09E-02	
group_14433	9.50E-01	4.82E-01	7.78E-01	3.09E-02	1.10E-01	1.63E-02	
group_14158	9.50E-01	2.08E-01	5.88E-01	6.14E-02	1.13E-01	3.15E-02	
purA	9.50E-01	2.08E-01	9.40E-01	-8.14E-03	1.07E-01	4.40E-03	
group_9147	9.50E-01	1.26E-06	9.44E-02	-1.92E-01	1.14E-01	9.69E-02	bad-chisq
ynfM	9.50E-01	8.82E-01	9.38E-01	-1.69E-02	2.15E-01	4.54E-03	
group_20646	9.46E-01	7.39E-01	3.57E-01	1.74E-01	1.88E-01	5.35E-02	
group_20434	9.46E-01	4.57E-01	2.52E-01	-2.25E-01	1.96E-01	6.64E-02	
tetR~~~yxaF	9.46E-01	4.57E-01	2.52E-01	-2.25E-01	1.96E-01	6.64E-02	
group_19769	9.46E-01	7.39E-01	8.55E-01	3.59E-02	1.97E-01	1.06E-02	
eAL~~~rcsC	9.46E-01	7.39E-01	8.55E-01	3.59E-02	1.97E-01	1.06E-02	
group_19745	9.46E-01	2.00E-01	2.39E-01	-1.90E-01	1.61E-01	6.83E-02	
group_19738	9.46E-01	2.00E-01	2.39E-01	-1.90E-01	1.61E-01	6.83E-02	
group_19672	9.50E-01	3.36E-01	1.22E-01	-2.33E-01	1.50E-01	8.95E-02	
group_19630	9.50E-01	3.36E-01	7.43E-02	-2.90E-01	1.62E-01	1.03E-01	
group_19463	9.50E-01	2.08E-01	5.46E-01	1.11E-01	1.84E-01	3.51E-02	
group_19422	9.46E-01	6.87E-02	2.60E-01	-1.20E-01	1.06E-01	6.53E-02	
group_18926	9.46E-01	3.84E-01	8.99E-01	-6.38E-02	5.04E-01	7.34E-03	
group_18878	9.46E-01	3.84E-01	8.99E-01	-6.38E-02	5.04E-01	7.34E-03	
group_18856	9.46E-01	3.84E-01	8.99E-01	-6.38E-02	5.04E-01	7.34E-03	
group_17888	9.50E-01	4.82E-01	1.07E-01	-2.98E-01	1.84E-01	9.34E-02	
perM~~~ydiK	9.46E-01	5.14E-02	2.84E-01	1.16E-01	1.08E-01	6.22E-02	
group_16848	9.46E-01	4.57E-01	4.19E-01	-8.40E-02	1.04E-01	4.69E-02	
group_16832	9.46E-01	3.84E-01	9.12E-01	-2.35E-02	2.12E-01	6.43E-03	
nIF3	9.46E-01	3.84E-01	5.60E-01	6.09E-02	1.04E-01	3.38E-02	
group_16783	9.46E-01	1.59E-01	3.74E-01	9.43E-02	1.06E-01	5.16E-02	
group_15985	9.50E-01	4.82E-01	5.05E-01	-1.13E-01	1.70E-01	3.87E-02	
group_15964	9.50E-01	4.82E-01	5.05E-01	-1.13E-01	1.70E-01	3.87E-02	
group_15953	9.46E-01	4.41E-07	2.09E-02	-2.49E-01	1.07E-01	1.34E-01	bad-chisq
group_15952	9.50E-01	4.82E-01	5.05E-01	-1.13E-01	1.70E-01	3.87E-02	
group_15938	9.50E-01	4.82E-01	5.05E-01	-1.13E-01	1.70E-01	3.87E-02	
group_15513	9.46E-01	7.39E-01	4.60E-01	1.37E-01	1.85E-01	4.29E-02	
tex	9.46E-01	3.84E-01	6.99E-01	4.14E-02	1.07E-01	2.25E-02	
group_15423	9.46E-01	7.39E-01	4.60E-01	1.37E-01	1.85E-01	4.29E-02	
group_15305	9.46E-01	7.39E-01	4.60E-01	1.37E-01	1.85E-01	4.29E-02	
group_15218	9.50E-01	3.36E-01	3.72E-01	-1.23E-01	1.38E-01	5.18E-02	
group_15200	9.46E-01	7.39E-01	7.60E-01	-3.68E-02	1.20E-01	1.78E-02	
group_15078	9.46E-01	3.84E-01	7.89E-01	2.81E-02	1.05E-01	1.55E-02	
vacB	9.46E-01	2.00E-01	2.20E-01	-1.27E-01	1.03E-01	7.11E-02	
group_14798	9.46E-01	4.57E-01	2.79E-01	-1.67E-01	1.54E-01	6.28E-02	
group_14560	9.46E-01	4.57E-01	2.79E-01	-1.67E-01	1.54E-01	6.28E-02	
sfcA	9.46E-01	3.77E-03	1.89E-02	-2.47E-01	1.05E-01	1.36E-01	
fliJ	9.46E-01	1.29E-02	7.07E-02	1.91E-01	1.05E-01	1.05E-01	bad-chisq
group_13903	9.46E-01	8.37E-01	2.47E-01	-2.20E-01	1.89E-01	6.72E-02	
plcC	9.46E-01	3.84E-01	4.31E-01	1.63E-01	2.06E-01	4.57E-02	
yhfF	9.50E-01	6.84E-01	6.87E-02	-3.54E-01	1.94E-01	1.05E-01	
group_13036	9.50E-01	4.82E-01	4.85E-01	-1.54E-01	2.20E-01	4.05E-02	
group_12948	9.50E-01	4.82E-01	6.31E-01	-9.94E-02	2.07E-01	2.79E-02	
group_12517	9.46E-01	8.37E-01	5.64E-01	-1.30E-01	2.25E-01	3.35E-02	
group_12292	9.50E-01	4.82E-01	4.85E-01	-1.54E-01	2.20E-01	4.05E-02	
livM~~~livH	9.50E-01	4.82E-01	4.85E-01	-1.54E-01	2.20E-01	4.05E-02	
group_11799	9.46E-01	3.84E-01	5.34E-02	-4.49E-01	2.32E-01	1.12E-01	
group_11745	9.50E-01	4.82E-01	9.86E-01	-3.16E-03	1.81E-01	1.01E-03	
group_11617	9.46E-01	1.59E-01	6.60E-01	4.73E-02	1.07E-01	2.55E-02	
group_11351	9.50E-01	4.82E-01	4.85E-01	-1.54E-01	2.20E-01	4.05E-02	
group_10492	9.50E-01	2.08E-01	2.36E-01	2.14E-01	1.80E-01	6.88E-02	
group_8741	9.46E-01	8.37E-01	3.45E-01	-9.88E-02	1.04E-01	5.48E-02	
group_21136	9.46E-01	7.39E-01	9.92E-01	1.53E-03	1.59E-01	5.61E-04	
group_21126	9.43E-01	6.12E-01	1.76E-01	-4.24E-01	3.12E-01	7.85E-02	
group_20880	9.43E-01	9.87E-01	7.39E-01	-5.65E-02	1.70E-01	1.93E-02	
group_20879	9.43E-01	9.87E-01	7.39E-01	-5.65E-02	1.70E-01	1.93E-02	
group_20878	9.43E-01	9.87E-01	7.39E-01	-5.65E-02	1.70E-01	1.93E-02	
group_20809	9.43E-01	5.90E-01	2.12E-02	-3.03E-01	1.31E-01	1.33E-01	
group_20761	9.43E-01	5.90E-01	2.12E-02	-3.03E-01	1.31E-01	1.33E-01	
group_20715	9.43E-01	5.90E-01	2.12E-02	-3.03E-01	1.31E-01	1.33E-01	
group_20713	9.43E-01	5.90E-01	2.12E-02	-3.03E-01	1.31E-01	1.33E-01	
mdtD~~~emrB	9.43E-01	5.90E-01	9.16E-01	-1.87E-02	1.76E-01	6.14E-03	
ankX~~~aNKYR	9.43E-01	2.35E-04	4.52E-01	-7.87E-02	1.05E-01	4.37E-02	
group_19728	9.43E-01	6.12E-01	8.86E-01	2.90E-02	2.02E-01	8.33E-03	
group_19387	9.43E-01	6.12E-01	6.05E-01	-1.60E-01	3.09E-01	3.00E-02	
ybjG~~~pgpB	9.43E-01	5.90E-01	5.57E-01	-6.11E-02	1.04E-01	3.41E-02	
group_18877	9.43E-01	6.12E-01	6.07E-01	-1.59E-01	3.09E-01	2.99E-02	
group_18872	9.43E-01	3.03E-01	7.15E-01	7.10E-02	1.95E-01	2.12E-02	
group_18748	9.43E-01	9.87E-01	5.06E-01	-9.67E-02	1.45E-01	3.86E-02	
group_18741	9.43E-01	3.03E-01	8.41E-01	-4.15E-02	2.07E-01	1.17E-02	
rutB~~~yecD	9.43E-01	6.12E-01	6.05E-01	-1.60E-01	3.09E-01	3.00E-02	
group_18169	9.46E-01	3.84E-01	8.99E-01	-6.38E-02	5.04E-01	7.34E-03	
group_18168	9.46E-01	3.84E-01	8.99E-01	-6.38E-02	5.04E-01	7.34E-03	
group_17942	9.46E-01	3.84E-01	8.99E-01	-6.38E-02	5.04E-01	7.34E-03	
group_17681	9.43E-01	6.12E-01	6.96E-02	-5.69E-01	3.12E-01	1.05E-01	
group_17552	9.43E-01	3.03E-01	5.06E-01	7.00E-02	1.05E-01	3.86E-02	
group_17480	9.43E-01	6.12E-01	6.05E-01	-1.60E-01	3.09E-01	3.00E-02	
group_17423	9.43E-01	6.12E-01	6.05E-01	-1.60E-01	3.09E-01	3.00E-02	
group_17263	9.43E-01	6.12E-01	6.96E-02	-5.69E-01	3.12E-01	1.05E-01	
group_16942	9.43E-01	6.12E-01	6.96E-02	-5.69E-01	3.12E-01	1.05E-01	
group_16937	9.46E-01	8.37E-01	4.70E-01	-1.15E-01	1.60E-01	4.19E-02	
trmL	9.46E-01	3.84E-01	3.82E-01	-1.10E-01	1.25E-01	5.07E-02	
group_15600	9.43E-01	9.87E-01	6.66E-01	7.26E-02	1.68E-01	2.51E-02	
group_15577	9.46E-01	7.39E-01	4.15E-01	-1.19E-01	1.46E-01	4.73E-02	
group_15337	9.43E-01	3.78E-02	2.09E-01	1.37E-01	1.09E-01	7.29E-02	
nagR	9.43E-01	6.12E-01	4.47E-01	1.28E-01	1.68E-01	4.42E-02	
group_15083	9.46E-01	6.87E-02	1.07E-01	-2.11E-01	1.31E-01	9.35E-02	
group_15025	9.43E-01	6.12E-01	4.47E-01	1.28E-01	1.68E-01	4.42E-02	
group_14981	9.43E-01	5.90E-01	5.18E-01	-9.38E-02	1.45E-01	3.76E-02	
group_14881	9.43E-01	6.12E-01	4.47E-01	1.28E-01	1.68E-01	4.42E-02	
group_14683	9.43E-01	6.12E-01	4.47E-01	1.28E-01	1.68E-01	4.42E-02	
group_14666	9.46E-01	5.14E-02	5.98E-01	8.82E-02	1.67E-01	3.07E-02	
group_14643	9.43E-01	2.35E-04	2.33E-01	-1.23E-01	1.03E-01	6.92E-02	
group_14419	9.43E-01	6.12E-01	4.47E-01	1.28E-01	1.68E-01	4.42E-02	
group_14404	9.46E-01	5.14E-02	5.98E-01	8.82E-02	1.67E-01	3.07E-02	
atoC~~~dctD	9.46E-01	5.14E-02	1.75E-02	3.85E-01	1.61E-01	1.37E-01	
group_14144	9.43E-01	6.12E-01	4.47E-01	1.28E-01	1.68E-01	4.42E-02	
group_14132	9.46E-01	5.14E-02	5.98E-01	8.82E-02	1.67E-01	3.07E-02	
group_13764	9.43E-01	6.12E-01	4.47E-01	1.28E-01	1.68E-01	4.42E-02	
group_13749	9.46E-01	5.14E-02	5.98E-01	8.82E-02	1.67E-01	3.07E-02	
group_13708	9.46E-01	1.59E-01	4.67E-01	1.46E-01	2.01E-01	4.22E-02	
group_13592	9.46E-01	3.84E-01	8.06E-01	-4.82E-02	1.97E-01	1.42E-02	
tapA	9.46E-01	5.14E-02	6.78E-01	7.50E-02	1.80E-01	2.41E-02	
group_10979	9.46E-01	3.84E-01	9.59E-01	-7.97E-03	1.54E-01	2.99E-03	
group_10510	9.43E-01	9.87E-01	8.61E-01	-1.89E-02	1.08E-01	1.01E-02	
group_21129	9.40E-01	8.70E-01	3.90E-02	-5.67E-01	2.73E-01	1.19E-01	
hdfR~~~argP~~~lysR	9.40E-01	8.70E-01	3.90E-02	-5.67E-01	2.73E-01	1.19E-01	
group_20856	9.40E-01	7.29E-01	3.37E-01	-1.54E-01	1.60E-01	5.57E-02	
group_19757	9.40E-01	5.01E-01	7.05E-01	7.16E-02	1.89E-01	2.20E-02	
group_19746	9.40E-01	5.01E-01	7.05E-01	7.16E-02	1.89E-01	2.20E-02	
ompR~~~phoP~~~baeR~~~mprA	9.40E-01	5.01E-01	7.05E-01	7.16E-02	1.89E-01	2.20E-02	
group_19740	9.40E-01	5.01E-01	7.05E-01	7.16E-02	1.89E-01	2.20E-02	
group_19739	9.40E-01	1.72E-01	1.27E-01	-2.14E-01	1.40E-01	8.85E-02	
group_19660	9.40E-01	8.70E-01	1.59E-01	-3.43E-01	2.43E-01	8.16E-02	
group_19592	9.40E-01	8.70E-01	1.59E-01	-3.43E-01	2.43E-01	8.16E-02	
ubiK	9.40E-01	8.70E-01	7.74E-01	-2.88E-02	1.00E-01	1.66E-02	
ogt	9.40E-01	3.92E-01	3.22E-01	-1.00E-01	1.01E-01	5.74E-02	
group_18663	9.40E-01	8.70E-01	4.54E-01	-1.82E-01	2.43E-01	4.35E-02	
lutR~~~gntR~~~fadR	9.40E-01	5.01E-01	7.94E-01	-6.52E-02	2.50E-01	1.52E-02	
group_16687	9.40E-01	8.70E-01	8.74E-01	1.55E-02	9.81E-02	9.17E-03	
degQ~~~degS	9.40E-01	2.37E-01	6.52E-01	4.50E-02	9.97E-02	2.62E-02	
luxN~~~atoC	9.40E-01	5.01E-01	4.37E-01	-1.92E-01	2.47E-01	4.52E-02	
pbuX~~~xanP	9.43E-01	3.03E-01	6.43E-01	5.78E-02	1.25E-01	2.69E-02	
group_15461	9.40E-01	2.37E-01	3.93E-01	2.11E-01	2.46E-01	4.96E-02	
group_15352	9.40E-01	2.37E-01	3.93E-01	2.11E-01	2.46E-01	4.96E-02	
group_15219	9.40E-01	2.37E-01	3.93E-01	2.11E-01	2.46E-01	4.96E-02	
group_15110	9.40E-01	7.29E-01	9.15E-01	1.46E-02	1.37E-01	6.18E-03	
group_15087	9.40E-01	2.37E-01	3.93E-01	2.11E-01	2.46E-01	4.96E-02	
group_15067	9.40E-01	2.37E-01	6.71E-01	1.26E-01	2.97E-01	2.47E-02	
group_14867	9.43E-01	3.78E-02	5.22E-01	9.92E-02	1.55E-01	3.72E-02	
group_14541	9.40E-01	2.37E-01	7.19E-01	3.62E-02	1.00E-01	2.09E-02	
group_14517	9.40E-01	7.29E-01	9.89E-01	1.47E-03	1.10E-01	7.77E-04	
group_13349	9.40E-01	5.01E-01	4.04E-01	2.09E-01	2.50E-01	4.85E-02	
group_12463	9.40E-01	5.01E-01	4.19E-01	1.25E-01	1.55E-01	4.69E-02	
group_11941	9.43E-01	3.03E-01	8.49E-01	-3.88E-02	2.03E-01	1.11E-02	
group_11552	9.40E-01	2.37E-01	6.22E-01	8.51E-02	1.72E-01	2.86E-02	
group_11276	9.43E-01	3.03E-01	6.03E-01	-7.32E-02	1.41E-01	3.02E-02	
group_6268	9.43E-01	6.12E-01	1.76E-01	-2.76E-01	2.03E-01	7.84E-02	
group_21130	9.36E-01	7.38E-01	1.23E-01	-3.50E-01	2.26E-01	8.95E-02	
group_21127	9.40E-01	9.07E-02	7.09E-01	7.08E-02	1.90E-01	2.17E-02	
group_20936	9.40E-01	8.70E-01	9.15E-02	-2.75E-01	1.62E-01	9.78E-02	
group_20817	9.36E-01	7.38E-01	1.76E-01	1.98E-01	1.46E-01	7.85E-02	
group_19624	9.36E-01	7.38E-01	2.78E-01	-2.30E-01	2.11E-01	6.30E-02	
group_18908	9.36E-01	8.71E-01	3.06E-02	-4.49E-01	2.07E-01	1.25E-01	
group_18854	9.36E-01	4.06E-01	3.13E-01	2.20E-01	2.18E-01	5.85E-02	
yvaK	9.40E-01	5.01E-01	9.88E-01	2.32E-03	1.60E-01	8.41E-04	
group_18081	9.36E-01	5.10E-01	3.91E-02	-3.15E-01	1.52E-01	1.19E-01	
group_18028	9.36E-01	4.06E-01	5.25E-01	-2.06E-01	3.24E-01	3.69E-02	
group_17972	9.36E-01	1.84E-01	4.52E-01	1.58E-01	2.10E-01	4.37E-02	
group_17807	9.36E-01	7.38E-01	1.93E-01	-2.72E-01	2.08E-01	7.55E-02	
group_17806	9.36E-01	4.06E-01	5.25E-01	-2.06E-01	3.24E-01	3.69E-02	
group_17741	9.36E-01	4.06E-01	5.25E-01	-2.06E-01	3.24E-01	3.69E-02	
group_17740	9.36E-01	4.06E-01	5.25E-01	-2.06E-01	3.24E-01	3.69E-02	
group_17662	9.36E-01	1.84E-01	4.52E-01	1.58E-01	2.10E-01	4.37E-02	
group_17467	9.36E-01	4.06E-01	5.25E-01	-2.06E-01	3.24E-01	3.69E-02	
nrtD~~~tauB	9.40E-01	5.01E-01	2.69E-01	-2.15E-01	1.94E-01	6.41E-02	
group_17246	9.36E-01	1.84E-01	4.52E-01	1.58E-01	2.10E-01	4.37E-02	
artM~~~hisP	9.36E-01	1.84E-01	4.52E-01	1.58E-01	2.10E-01	4.37E-02	
group_15918	9.40E-01	7.29E-01	2.61E-01	-1.54E-01	1.37E-01	6.52E-02	
group_13654	9.36E-01	2.48E-01	1.17E-01	-1.50E-01	9.52E-02	9.09E-02	
tatC	9.36E-01	1.84E-01	5.93E-01	5.22E-02	9.76E-02	3.10E-02	
group_13149	9.40E-01	2.77E-02	3.55E-01	1.35E-01	1.46E-01	5.37E-02	
ompV	9.40E-01	5.01E-01	4.64E-01	-1.26E-01	1.72E-01	4.25E-02	
msbA~~~cydC	9.33E-01	6.20E-01	2.53E-01	-2.64E-01	2.31E-01	6.63E-02	
group_21088	9.33E-01	3.26E-01	8.94E-01	-2.22E-02	1.67E-01	7.71E-03	
group_20903	9.33E-01	9.91E-01	5.66E-01	-7.96E-02	1.39E-01	3.33E-02	
group_20855	9.33E-01	6.20E-01	8.64E-01	2.44E-02	1.42E-01	9.97E-03	
group_20765	9.33E-01	9.91E-01	9.74E-01	4.57E-03	1.38E-01	1.92E-03	
alaX	9.36E-01	2.48E-01	2.65E-02	-2.42E-01	1.08E-01	1.28E-01	
yqjC	9.33E-01	1.49E-01	4.88E-03	-2.68E-01	9.45E-02	1.62E-01	
group_18555	9.36E-01	7.38E-01	6.52E-01	-5.29E-02	1.17E-01	2.62E-02	
group_18425	9.36E-01	7.38E-01	6.52E-01	-5.29E-02	1.17E-01	2.62E-02	
group_18424	9.36E-01	7.38E-01	6.52E-01	-5.29E-02	1.17E-01	2.62E-02	
group_18263	9.36E-01	7.38E-01	6.52E-01	-5.29E-02	1.17E-01	2.62E-02	
group_17848	9.33E-01	3.26E-01	7.21E-01	3.60E-02	1.01E-01	2.07E-02	
group_17646	9.36E-01	7.38E-01	3.37E-01	-1.58E-01	1.65E-01	5.57E-02	
group_15946	9.33E-01	3.26E-01	4.64E-01	1.36E-01	1.85E-01	4.25E-02	
group_15391	9.33E-01	3.26E-01	8.77E-01	2.92E-02	1.88E-01	9.02E-03	
group_15049	9.33E-01	3.26E-01	6.93E-01	-4.18E-02	1.06E-01	2.30E-02	
group_13175	9.33E-01	3.26E-01	1.27E-01	2.09E-01	1.37E-01	8.86E-02	
iclR~~~tctC	9.36E-01	6.82E-02	1.90E-01	2.28E-01	1.74E-01	7.61E-02	
metQ	9.33E-01	3.26E-01	3.55E-01	-2.14E-01	2.31E-01	5.37E-02	
glcE	9.36E-01	6.82E-02	4.02E-01	9.83E-02	1.17E-01	4.86E-02	
group_11114	9.33E-01	3.26E-01	3.55E-01	-2.14E-01	2.31E-01	5.37E-02	
citB~~~rcsB~~~luxR	9.33E-01	3.26E-01	6.92E-01	-7.70E-02	1.94E-01	2.30E-02	
yobV~~~yafY~~~pafB	9.33E-01	9.91E-01	5.06E-02	-2.90E-01	1.48E-01	1.13E-01	
group_20914	9.30E-01	5.15E-01	9.01E-01	2.22E-02	1.79E-01	7.19E-03	
group_20786	9.30E-01	5.15E-01	6.28E-01	-8.93E-02	1.84E-01	2.81E-02	
group_18897	9.30E-01	1.10E-01	1.79E-01	2.93E-01	2.18E-01	7.78E-02	
group_18851	9.30E-01	5.15E-01	2.12E-01	-2.52E-01	2.01E-01	7.24E-02	
group_18846	9.30E-01	1.10E-01	1.79E-01	2.93E-01	2.18E-01	7.78E-02	
urcA~~~psiF	9.30E-01	8.59E-01	6.79E-01	-7.06E-02	1.71E-01	2.40E-02	
group_18567	9.30E-01	8.59E-01	2.31E-01	-2.01E-01	1.67E-01	6.94E-02	
group_18433	9.30E-01	8.59E-01	2.33E-01	-2.00E-01	1.67E-01	6.92E-02	
group_18379	9.33E-01	6.20E-01	7.61E-01	-5.90E-02	1.94E-01	1.76E-02	
group_18206	9.33E-01	6.20E-01	7.61E-01	-5.90E-02	1.94E-01	1.76E-02	
group_18124	9.33E-01	6.20E-01	8.05E-01	-5.09E-02	2.06E-01	1.43E-02	
group_17878	9.33E-01	5.10E-02	4.86E-01	1.32E-01	1.89E-01	4.05E-02	
group_17877	9.33E-01	5.10E-02	4.86E-01	1.32E-01	1.89E-01	4.05E-02	
group_17760	9.33E-01	3.38E-01	2.26E-02	-2.78E-01	1.21E-01	1.32E-01	
group_17545	9.33E-01	5.10E-02	4.86E-01	1.32E-01	1.89E-01	4.05E-02	
group_17303	9.30E-01	8.59E-01	7.14E-02	-3.93E-01	2.17E-01	1.04E-01	
group_17072	9.33E-01	5.10E-02	4.86E-01	1.32E-01	1.89E-01	4.05E-02	
group_17071	9.33E-01	5.10E-02	4.86E-01	1.32E-01	1.89E-01	4.05E-02	
group_16868	9.33E-01	5.10E-02	4.86E-01	1.32E-01	1.89E-01	4.05E-02	
group_16813	9.33E-01	3.38E-01	2.26E-02	-2.78E-01	1.21E-01	1.32E-01	
group_16029	9.30E-01	4.41E-01	2.61E-01	-1.17E-01	1.04E-01	6.52E-02	
lysR~~~gbpR~~~hdfR	9.33E-01	3.26E-01	9.02E-01	-1.80E-02	1.46E-01	7.16E-03	
group_16003	9.33E-01	3.26E-01	9.58E-01	-7.47E-03	1.41E-01	3.07E-03	
group_15930	9.30E-01	2.60E-01	2.99E-01	1.84E-01	1.77E-01	6.03E-02	
group_15905	9.30E-01	2.60E-01	2.99E-01	1.84E-01	1.77E-01	6.03E-02	
group_15855	9.30E-01	2.60E-01	2.99E-01	1.84E-01	1.77E-01	6.03E-02	
group_15823	9.30E-01	2.60E-01	2.99E-01	1.84E-01	1.77E-01	6.03E-02	
group_15149	9.33E-01	3.38E-01	2.26E-02	-2.78E-01	1.21E-01	1.32E-01	
group_14817	9.33E-01	1.02E-07	6.79E-02	-1.86E-01	1.02E-01	1.06E-01	
dinG~~~dnaQ	9.33E-01	3.38E-01	2.26E-02	-2.78E-01	1.21E-01	1.32E-01	
iclR~~~kipR	9.33E-01	1.43E-01	7.52E-01	-4.10E-02	1.30E-01	1.84E-02	
bdlA~~~pAS	9.33E-01	3.38E-01	2.26E-02	-2.78E-01	1.21E-01	1.32E-01	
group_13677	9.33E-01	3.38E-01	2.26E-02	-2.78E-01	1.21E-01	1.32E-01	
group_13676	9.33E-01	3.38E-01	2.26E-02	-2.78E-01	1.21E-01	1.32E-01	
cdhR~~~glxA~~~rhaS	9.33E-01	3.38E-01	2.26E-02	-2.78E-01	1.21E-01	1.32E-01	
group_11996	9.30E-01	5.15E-01	4.09E-01	-1.82E-01	2.20E-01	4.79E-02	
group_11576	9.30E-01	2.60E-01	2.20E-01	1.61E-01	1.31E-01	7.11E-02	
glnK	9.30E-01	4.41E-01	1.98E-01	-1.21E-01	9.35E-02	7.47E-02	
group_20925	9.30E-01	7.67E-01	9.88E-01	1.55E-03	1.02E-01	8.85E-04	
group_20719	9.26E-01	4.23E-01	5.23E-01	8.84E-02	1.38E-01	3.71E-02	
group_20349	9.26E-01	7.36E-01	6.30E-01	-6.18E-02	1.28E-01	2.80E-02	
group_20113	9.26E-01	7.36E-01	8.52E-02	-4.16E-01	2.41E-01	9.97E-02	
group_18810	9.30E-01	8.59E-01	3.13E-01	1.71E-01	1.69E-01	5.86E-02	
group_18678	9.30E-01	8.59E-01	4.90E-01	-1.18E-01	1.71E-01	4.01E-02	
group_18529	9.30E-01	3.81E-02	6.14E-01	1.72E-01	3.41E-01	2.93E-02	
group_18360	9.30E-01	7.67E-01	9.07E-01	-1.98E-02	1.70E-01	6.78E-03	
tssM~~~icmF	9.30E-01	3.81E-02	6.14E-01	1.72E-01	3.41E-01	2.93E-02	
group_18208	9.26E-01	4.23E-01	6.00E-01	-1.78E-01	3.39E-01	3.05E-02	
group_18096	9.30E-01	1.10E-01	3.71E-01	2.76E-01	3.08E-01	5.20E-02	
kefA~~~mscS~~~mscK	9.30E-01	2.13E-01	9.90E-03	-3.07E-01	1.18E-01	1.49E-01	
group_16748	9.30E-01	2.60E-01	1.06E-01	-5.00E-01	3.08E-01	9.38E-02	
cytB	9.26E-01	7.36E-01	7.20E-01	3.23E-02	8.98E-02	2.08E-02	
group_16234	9.26E-01	4.23E-01	8.02E-01	4.02E-02	1.60E-01	1.46E-02	
yhdG~~~ybaT	9.26E-01	7.36E-01	3.66E-01	-1.61E-01	1.78E-01	5.24E-02	
group_15959	9.26E-01	2.06E-01	3.84E-01	1.46E-01	1.67E-01	5.05E-02	
group_15881	9.26E-01	4.23E-01	9.55E-01	9.22E-03	1.62E-01	3.30E-03	
ugpQ	9.30E-01	2.15E-09	1.10E-02	-2.56E-01	1.00E-01	1.47E-01	bad-chisq
rlmJ	9.30E-01	2.15E-09	1.10E-02	-2.56E-01	1.00E-01	1.47E-01	bad-chisq
yadH	9.26E-01	8.99E-01	2.88E-01	-1.66E-01	1.56E-01	6.16E-02	
eutE	9.26E-01	1.29E-01	9.31E-02	1.71E-01	1.01E-01	9.73E-02	
group_13943	9.26E-01	4.23E-01	5.55E-01	-1.18E-01	2.00E-01	3.43E-02	
amtB	9.26E-01	8.99E-01	5.06E-01	-6.05E-02	9.10E-02	3.86E-02	
mdtC~~~lysR~~~cynR	9.26E-01	2.06E-01	5.38E-01	-1.50E-01	2.44E-01	3.57E-02	
group_21074	9.26E-01	2.06E-01	5.38E-01	-1.50E-01	2.44E-01	3.57E-02	
group_21066	9.26E-01	2.06E-01	5.38E-01	-1.50E-01	2.44E-01	3.57E-02	
group_20526	9.26E-01	4.23E-01	5.35E-01	-1.50E-01	2.41E-01	3.60E-02	
